meeting_id,turnover_previous_season,turnover_this_season,total_turnover_pytd,total_turnover_ytd,cumulative_growth_rate_of_total_turnover
1,574777142.9,560932011.2,574777142.9,560932011.2,-0.024
2,444958342.4,457965070.1,1019735485,1018897081,-0.001
3,600410950.9,605138210.2,1620146436,1624035292,0.002
4,459513910.9,484949667.4,2079660347,2108984959,0.014
5,531908887.7,561699923.2,2611569235,2670684882,0.023
6,568350074.7,502674112.2,3179919310,3173358994,-0.002
7,611332063,631463191.4,3791251373,3804822186,0.004
